N,G(N),C2_empirique
1000,28,0.668039161920278
10000,127,0.5386728480246054
100000,810,0.5368171836859379
1000000,5402,0.5155353646704774
10000000,38807,0.5040893619346711
50000000,158467,0.49800702469505
100000000,291400,0.49439139500588974
200000000,538290,0.4916450424659783
500000000,1219610,0.48931442692966215
