N,Admissibles,Realisations,Ratio
1000,992,28,0.028225806451612902
10000,990,127,0.12828282828282828
100000,992,810,0.8165322580645161
1000000,992,5402,5.445564516129032
10000000,993,38807,39.080563947633436
50000000,992,158467,159.74495967741936
100000000,992,291400,293.75
200000000,992,538290,542.6310483870968
500000000,991,1219610,1230.686175580222
