N,P,Q,Res P,Res Q
9234800,1204891,8029909,1,19
9234800,1205287,8029513,7,13
9234800,1205437,8029363,7,13
9234800,1205473,8029327,13,7
9234800,1205557,8029243,7,13
9234800,1205731,8029069,1,19
9234800,1206061,8028739,1,19
9234800,1206151,8028649,1,19
9234800,1206181,8028619,1,19
9234800,1206223,8028577,13,7
9234800,1206277,8028523,7,13
9234800,1206433,8028367,13,7
9234800,1206553,8028247,13,7
9234800,1206679,8028121,19,1
9234800,1206691,8028109,1,19
9234800,1206781,8028019,1,19
9234800,1206973,8027827,13,7
9234800,1206979,8027821,19,1
9234800,1207117,8027683,7,13
9234800,1207147,8027653,7,13
9234800,1207159,8027641,19,1
9234800,1207237,8027563,7,13
9234800,1207309,8027491,19,1
9234800,1208239,8026561,19,1
9234800,1208371,8026429,1,19
9234800,1208413,8026387,13,7
9234800,1208569,8026231,19,1
9234800,1208689,8026111,19,1
9234800,1208707,8026093,7,13
9234800,1208833,8025967,13,7
9234800,1209007,8025793,7,13
9234800,1209073,8025727,13,7
9234800,1209121,8025679,1,19
9234800,1209199,8025601,19,1
9234800,1209379,8025421,19,1
9234800,1209469,8025331,19,1
9234800,1209631,8025169,1,19
9234800,1209697,8025103,7,13
9234800,1209781,8025019,1,19
9234800,1209841,8024959,1,19
9234800,1209877,8024923,7,13
9234800,1209889,8024911,19,1
9234800,1209931,8024869,1,19
9234800,1210039,8024761,19,1
9234800,1210177,8024623,7,13
9234800,1210369,8024431,19,1
9234800,1210393,8024407,13,7
9234800,1210639,8024161,19,1
9234800,1210711,8024089,1,19
9234800,1210753,8024047,13,7
9234800,1210801,8023999,1,19
9234800,1210831,8023969,1,19
9234800,1210843,8023957,13,7
9234800,1210939,8023861,19,1
9234800,1211563,8023237,13,7
9234800,1211647,8023153,7,13
9234800,1211677,8023123,7,13
9234800,1211737,8023063,7,13
9234800,1211761,8023039,1,19
9234800,1211767,8023033,7,13
9234800,1211857,8022943,7,13
9234800,1211923,8022877,13,7
9234800,1212061,8022739,1,19
9234800,1212187,8022613,7,13
9234800,1212283,8022517,13,7
9234800,1212397,8022403,7,13
9234800,1212427,8022373,7,13
9234800,1212433,8022367,13,7
9234800,1212649,8022151,19,1
9234800,1212697,8022103,7,13
9234800,1212703,8022097,13,7
9234800,1212811,8021989,1,19
9234800,1212889,8021911,19,1
9234800,1212931,8021869,1,19
9234800,1213063,8021737,13,7
9234800,1213153,8021647,13,7
9234800,1213561,8021239,1,19
9234800,1213747,8021053,7,13
9234800,1213837,8020963,7,13
9234800,1213873,8020927,13,7
9234800,1213879,8020921,19,1
9234800,1213909,8020891,19,1
9234800,1214113,8020687,13,7
9234800,1214131,8020669,1,19
9234800,1214371,8020429,1,19
9234800,1214407,8020393,7,13
9234800,1214413,8020387,13,7
9234800,1214617,8020183,7,13
9234800,1214923,8019877,13,7
9234800,1215079,8019721,19,1
9234800,1215121,8019679,1,19
9234800,1215133,8019667,13,7
9234800,1215157,8019643,7,13
9234800,1215463,8019337,13,7
9234800,1215553,8019247,13,7
9234800,1215583,8019217,13,7
9234800,1215631,8019169,1,19
9234800,1215787,8019013,7,13
9234800,1215853,8018947,13,7
9234800,1216351,8018449,1,19
9234800,1216417,8018383,7,13
9234800,1216693,8018107,13,7
9234800,1216711,8018089,1,19
9234800,1216729,8018071,19,1
9234800,1216807,8017993,7,13
9234800,1216849,8017951,19,1
9234800,1217017,8017783,7,13
9234800,1217191,8017609,1,19
9234800,1217269,8017531,19,1
9234800,1217317,8017483,7,13
9234800,1217443,8017357,13,7
9234800,1217473,8017327,13,7
9234800,1217533,8017267,13,7
9234800,1217683,8017117,13,7
9234800,1217809,8016991,19,1
9234800,1217893,8016907,13,7
9234800,1218157,8016643,7,13
9234800,1218247,8016553,7,13
9234800,1218307,8016493,7,13
9234800,1218313,8016487,13,7
9234800,1218367,8016433,7,13
9234800,1218457,8016343,7,13
9234800,1218487,8016313,7,13
9234800,1218691,8016109,1,19
9234800,1218859,8015941,19,1
9234800,1218991,8015809,1,19
9234800,1219003,8015797,13,7
9234800,1219081,8015719,1,19
9234800,1219357,8015443,7,13
9234800,1219411,8015389,1,19
9234800,1219489,8015311,19,1
9234800,1219501,8015299,1,19
9234800,1219747,8015053,7,13
9234800,1219789,8015011,19,1
9234800,1219879,8014921,19,1
9234800,1219909,8014891,19,1
9234800,1220077,8014723,7,13
9234800,1220251,8014549,1,19
9234800,1220347,8014453,7,13
9234800,1220623,8014177,13,7
9234800,1220743,8014057,13,7
9234800,1220917,8013883,7,13
9234800,1221097,8013703,7,13
9234800,1221427,8013373,7,13
9234800,1221541,8013259,1,19
9234800,1221937,8012863,7,13
9234800,1222483,8012317,13,7
9234800,1222597,8012203,7,13
9234800,1222693,8012107,13,7
9234800,1222723,8012077,13,7
9234800,1222801,8011999,1,19
9234800,1222909,8011891,19,1
9234800,1223149,8011651,19,1
9234800,1223179,8011621,19,1
9234800,1223323,8011477,13,7
9234800,1223437,8011363,7,13
9234800,1223527,8011273,7,13
9234800,1224169,8010631,19,1
9234800,1224403,8010397,13,7
9234800,1224439,8010361,19,1
9234800,1224823,8009977,13,7
9234800,1225093,8009707,13,7
9234800,1225507,8009293,7,13
9234800,1225621,8009179,1,19
9234800,1225657,8009143,7,13
9234800,1225849,8008951,19,1
9234800,1225933,8008867,13,7
9234800,1225999,8008801,19,1
9234800,1226011,8008789,1,19
9234800,1226263,8008537,13,7
9234800,1226347,8008453,7,13
9234800,1226677,8008123,7,13
9234800,1226707,8008093,7,13
9234800,1226857,8007943,7,13
9234800,1227133,8007667,13,7
9234800,1227301,8007499,1,19
9234800,1227337,8007463,7,13
9234800,1227943,8006857,13,7
9234800,1227973,8006827,13,7
9234800,1227979,8006821,19,1
9234800,1228159,8006641,19,1
9234800,1228519,8006281,19,1
9234800,1228651,8006149,1,19
9234800,1228693,8006107,13,7
9234800,1228783,8006017,13,7
9234800,1229071,8005729,1,19
9234800,1229197,8005603,7,13
9234800,1229227,8005573,7,13
9234800,1229269,8005531,19,1
9234800,1229317,8005483,7,13
9234800,1229377,8005423,7,13
9234800,1229461,8005339,1,19
9234800,1229617,8005183,7,13
9234800,1229773,8005027,13,7
9234800,1229827,8004973,7,13
9234800,1229911,8004889,1,19
9234800,1230127,8004673,7,13
9234800,1230169,8004631,19,1
9234800,1230241,8004559,1,19
9234800,1230337,8004463,7,13
9234800,1230343,8004457,13,7
9234800,1230373,8004427,13,7
9234800,1230637,8004163,7,13
9234800,1230667,8004133,7,13
9234800,1230907,8003893,7,13
9234800,1231141,8003659,1,19
9234800,1231171,8003629,1,19
9234800,1231261,8003539,1,19
9234800,1231303,8003497,13,7
9234800,1231309,8003491,19,1
9234800,1231381,8003419,1,19
9234800,1231771,8003029,1,19
9234800,1232227,8002573,7,13
9234800,1232389,8002411,19,1
9234800,1232401,8002399,1,19
9234800,1232683,8002117,13,7
9234800,1232797,8002003,7,13
9234800,1232809,8001991,19,1
9234800,1232851,8001949,1,19
9234800,1232941,8001859,1,19
9234800,1232977,8001823,7,13
9234800,1233073,8001727,13,7
9234800,1233181,8001619,1,19
9234800,1233241,8001559,1,19
9234800,1233259,8001541,19,1
9234800,1233493,8001307,13,7
9234800,1233523,8001277,13,7
9234800,1233907,8000893,7,13
9234800,1234117,8000683,7,13
9234800,1234393,8000407,13,7
9234800,1234627,8000173,7,13
9234800,1234747,8000053,7,13
9234800,1234777,8000023,7,13
9234800,1234837,7999963,7,13
9234800,1235041,7999759,1,19
9234800,1235131,7999669,1,19
9234800,1235383,7999417,13,7
9234800,1235449,7999351,19,1
9234800,1235503,7999297,13,7
9234800,1235593,7999207,13,7
9234800,1235821,7998979,1,19
9234800,1235833,7998967,13,7
9234800,1235947,7998853,7,13
9234800,1236163,7998637,13,7
9234800,1236661,7998139,1,19
9234800,1236709,7998091,19,1
9234800,1236727,7998073,7,13
9234800,1236751,7998049,1,19
9234800,1236787,7998013,7,13
9234800,1236811,7997989,1,19
9234800,1237051,7997749,1,19
9234800,1237177,7997623,7,13
9234800,1237543,7997257,13,7
9234800,1237843,7996957,13,7
9234800,1237849,7996951,19,1
9234800,1237897,7996903,7,13
9234800,1238089,7996711,19,1
9234800,1238431,7996369,1,19
9234800,1238437,7996363,7,13
9234800,1238491,7996309,1,19
9234800,1238719,7996081,19,1
9234800,1238863,7995937,13,7
9234800,1238893,7995907,13,7
9234800,1239223,7995577,13,7
9234800,1239229,7995571,19,1
9234800,1239247,7995553,7,13
9234800,1239481,7995319,1,19
9234800,1239499,7995301,19,1
9234800,1239523,7995277,13,7
9234800,1239643,7995157,13,7
9234800,1239727,7995073,7,13
9234800,1239919,7994881,19,1
9234800,1240039,7994761,19,1
9234800,1240153,7994647,13,7
9234800,1240273,7994527,13,7
9234800,1240423,7994377,13,7
9234800,1240717,7994083,7,13
9234800,1240741,7994059,1,19
9234800,1240777,7994023,7,13
9234800,1240999,7993801,19,1
9234800,1241257,7993543,7,13
9234800,1241263,7993537,13,7
9234800,1241341,7993459,1,19
9234800,1241377,7993423,7,13
9234800,1241491,7993309,1,19
9234800,1241743,7993057,13,7
9234800,1241827,7992973,7,13
9234800,1242061,7992739,1,19
9234800,1242181,7992619,1,19
9234800,1242217,7992583,7,13
9234800,1242289,7992511,19,1
9234800,1242379,7992421,19,1
9234800,1242457,7992343,7,13
9234800,1242859,7991941,19,1
9234800,1242931,7991869,1,19
9234800,1243147,7991653,7,13
9234800,1243393,7991407,13,7
9234800,1243471,7991329,1,19
9234800,1243717,7991083,7,13
9234800,1243741,7991059,1,19
9234800,1243783,7991017,13,7
9234800,1243807,7990993,7,13
9234800,1244203,7990597,13,7
9234800,1244359,7990441,19,1
9234800,1244437,7990363,7,13
9234800,1245121,7989679,1,19
9234800,1245187,7989613,7,13
9234800,1245331,7989469,1,19
9234800,1245613,7989187,13,7
9234800,1245817,7988983,7,13
9234800,1245877,7988923,7,13
9234800,1245943,7988857,13,7
9234800,1245961,7988839,1,19
9234800,1246033,7988767,13,7
9234800,1246213,7988587,13,7
9234800,1246243,7988557,13,7
9234800,1246327,7988473,7,13
9234800,1246363,7988437,13,7
9234800,1246387,7988413,7,13
9234800,1246543,7988257,13,7
9234800,1246579,7988221,19,1
9234800,1246711,7988089,1,19
9234800,1246879,7987921,19,1
9234800,1247101,7987699,1,19
9234800,1247209,7987591,19,1
9234800,1247263,7987537,13,7
9234800,1247269,7987531,19,1
9234800,1247893,7986907,13,7
9234800,1247923,7986877,13,7
9234800,1248001,7986799,1,19
9234800,1248061,7986739,1,19
9234800,1248103,7986697,13,7
9234800,1248193,7986607,13,7
9234800,1248271,7986529,1,19
9234800,1248337,7986463,7,13
9234800,1248469,7986331,19,1
9234800,1248571,7986229,1,19
9234800,1248589,7986211,19,1
9234800,1248721,7986079,1,19
9234800,1248781,7986019,1,19
9234800,1248799,7986001,19,1
9234800,1249057,7985743,7,13
9234800,1249063,7985737,13,7
9234800,1249159,7985641,19,1
9234800,1249363,7985437,13,7
9234800,1249411,7985389,1,19
9234800,1249477,7985323,7,13
9234800,1249489,7985311,19,1
9234800,1249861,7984939,1,19
9234800,1250149,7984651,19,1
9234800,1250413,7984387,13,7
9234800,1250443,7984357,13,7
9234800,1250647,7984153,7,13
9234800,1250653,7984147,13,7
9234800,1250773,7984027,13,7
9234800,1250917,7983883,7,13
9234800,1251037,7983763,7,13
9234800,1251043,7983757,13,7
9234800,1251259,7983541,19,1
9234800,1251571,7983229,1,19
9234800,1251577,7983223,7,13
9234800,1251667,7983133,7,13
9234800,1251841,7982959,1,19
9234800,1251907,7982893,7,13
9234800,1252129,7982671,19,1
9234800,1252663,7982137,13,7
9234800,1252717,7982083,7,13
9234800,1252873,7981927,13,7
9234800,1252963,7981837,13,7
9234800,1253089,7981711,19,1
9234800,1253347,7981453,7,13
9234800,1253479,7981321,19,1
9234800,1253803,7980997,13,7
9234800,1254013,7980787,13,7
9234800,1254049,7980751,19,1
9234800,1254427,7980373,7,13
9234800,1254469,7980331,19,1
9234800,1254733,7980067,13,7
9234800,1254739,7980061,19,1
9234800,1254907,7979893,7,13
9234800,1255021,7979779,1,19
9234800,1255063,7979737,13,7
9234800,1255201,7979599,1,19
9234800,1255321,7979479,1,19
9234800,1255519,7979281,19,1
9234800,1255687,7979113,7,13
9234800,1255963,7978837,13,7
9234800,1255993,7978807,13,7
9234800,1256023,7978777,13,7
9234800,1256029,7978771,19,1
9234800,1256161,7978639,1,19
9234800,1256197,7978603,7,13
9234800,1256611,7978189,1,19
9234800,1256737,7978063,7,13
9234800,1256917,7977883,7,13
9234800,1257013,7977787,13,7
9234800,1257073,7977727,13,7
9234800,1257079,7977721,19,1
9234800,1257241,7977559,1,19
9234800,1257247,7977553,7,13
9234800,1257547,7977253,7,13
9234800,1257559,7977241,19,1
9234800,1257829,7976971,19,1
9234800,1257877,7976923,7,13
9234800,1257931,7976869,1,19
9234800,1258099,7976701,19,1
9234800,1258207,7976593,7,13
9234800,1258267,7976533,7,13
9234800,1258441,7976359,1,19
9234800,1258471,7976329,1,19
9234800,1258483,7976317,13,7
9234800,1258597,7976203,7,13
9234800,1258627,7976173,7,13
9234800,1258639,7976161,19,1
9234800,1258753,7976047,13,7
9234800,1259317,7975483,7,13
9234800,1259509,7975291,19,1
9234800,1259563,7975237,13,7
9234800,1259653,7975147,13,7
9234800,1259689,7975111,19,1
9234800,1259737,7975063,7,13
9234800,1260157,7974643,7,13
9234800,1260319,7974481,19,1
9234800,1260439,7974361,19,1
9234800,1260541,7974259,1,19
9234800,1260829,7973971,19,1
9234800,1260901,7973899,1,19
9234800,1261033,7973767,13,7
9234800,1261327,7973473,7,13
9234800,1261357,7973443,7,13
9234800,1261531,7973269,1,19
9234800,1261699,7973101,19,1
9234800,1261831,7972969,1,19
9234800,1261837,7972963,7,13
9234800,1261969,7972831,19,1
9234800,1262221,7972579,1,19
9234800,1262461,7972339,1,19
9234800,1262491,7972309,1,19
9234800,1262509,7972291,19,1
9234800,1262581,7972219,1,19
9234800,1262617,7972183,7,13
9234800,1262713,7972087,13,7
9234800,1262881,7971919,1,19
9234800,1262887,7971913,7,13
9234800,1262929,7971871,19,1
9234800,1263079,7971721,19,1
9234800,1263121,7971679,1,19
9234800,1263307,7971493,7,13
9234800,1263583,7971217,13,7
9234800,1263817,7970983,7,13
9234800,1263931,7970869,1,19
9234800,1263973,7970827,13,7
9234800,1263979,7970821,19,1
9234800,1264261,7970539,1,19
9234800,1264267,7970533,7,13
9234800,1264303,7970497,13,7
9234800,1264447,7970353,7,13
9234800,1264573,7970227,13,7
9234800,1264597,7970203,7,13
9234800,1264657,7970143,7,13
9234800,1264801,7969999,1,19
9234800,1264807,7969993,7,13
9234800,1265029,7969771,19,1
9234800,1265053,7969747,13,7
9234800,1265197,7969603,7,13
9234800,1265347,7969453,7,13
9234800,1265479,7969321,19,1
9234800,1265521,7969279,1,19
9234800,1265581,7969219,1,19
9234800,1265617,7969183,7,13
9234800,1265941,7968859,1,19
9234800,1266043,7968757,13,7
9234800,1266277,7968523,7,13
9234800,1266337,7968463,7,13
9234800,1266451,7968349,1,19
9234800,1266487,7968313,7,13
9234800,1266493,7968307,13,7
9234800,1266583,7968217,13,7
9234800,1266757,7968043,7,13
9234800,1266799,7968001,19,1
9234800,1266949,7967851,19,1
9234800,1267051,7967749,1,19
9234800,1267303,7967497,13,7
9234800,1267411,7967389,1,19
9234800,1267579,7967221,19,1
9234800,1267873,7966927,13,7
9234800,1267933,7966867,13,7
9234800,1267957,7966843,7,13
9234800,1268053,7966747,13,7
9234800,1268077,7966723,7,13
9234800,1268167,7966633,7,13
9234800,1268173,7966627,13,7
9234800,1268419,7966381,19,1
9234800,1268467,7966333,7,13
9234800,1268563,7966237,13,7
9234800,1268593,7966207,13,7
9234800,1268791,7966009,1,19
9234800,1268929,7965871,19,1
9234800,1269001,7965799,1,19
9234800,1269013,7965787,13,7
9234800,1269043,7965757,13,7
9234800,1269223,7965577,13,7
9234800,1269253,7965547,13,7
9234800,1269343,7965457,13,7
9234800,1269379,7965421,19,1
9234800,1269391,7965409,1,19
9234800,1269529,7965271,19,1
9234800,1269547,7965253,7,13
9234800,1269559,7965241,19,1
9234800,1269571,7965229,1,19
9234800,1269937,7964863,7,13
9234800,1270111,7964689,1,19
9234800,1270231,7964569,1,19
9234800,1270237,7964563,7,13
9234800,1270471,7964329,1,19
9234800,1270537,7964263,7,13
9234800,1270639,7964161,19,1
9234800,1270651,7964149,1,19
9234800,1270747,7964053,7,13
9234800,1270771,7964029,1,19
9234800,1271203,7963597,13,7
9234800,1271239,7963561,19,1
9234800,1271293,7963507,13,7
9234800,1271359,7963441,19,1
9234800,1271503,7963297,13,7
9234800,1271659,7963141,19,1
9234800,1271701,7963099,1,19
9234800,1271791,7963009,1,19
9234800,1271797,7963003,7,13
9234800,1271839,7962961,19,1
9234800,1271953,7962847,13,7
9234800,1272049,7962751,19,1
9234800,1272163,7962637,13,7
9234800,1272283,7962517,13,7
9234800,1272367,7962433,7,13
9234800,1272379,7962421,19,1
9234800,1272673,7962127,13,7
9234800,1272847,7961953,7,13
9234800,1272919,7961881,19,1
9234800,1272961,7961839,1,19
9234800,1272991,7961809,1,19
9234800,1273267,7961533,7,13
9234800,1273291,7961509,1,19
9234800,1273663,7961137,13,7
9234800,1273681,7961119,1,19
9234800,1273771,7961029,1,19
9234800,1274011,7960789,1,19
9234800,1274149,7960651,19,1
9234800,1274401,7960399,1,19
9234800,1274437,7960363,7,13
9234800,1274557,7960243,7,13
9234800,1274599,7960201,19,1
9234800,1274629,7960171,19,1
9234800,1274671,7960129,1,19
9234800,1274719,7960081,19,1
9234800,1274803,7959997,13,7
9234800,1274929,7959871,19,1
9234800,1275283,7959517,13,7
9234800,1275559,7959241,19,1
9234800,1275601,7959199,1,19
9234800,1275817,7958983,7,13
9234800,1275931,7958869,1,19
9234800,1276027,7958773,7,13
9234800,1276039,7958761,19,1
9234800,1276183,7958617,13,7
9234800,1276237,7958563,7,13
9234800,1276279,7958521,19,1
9234800,1276357,7958443,7,13
9234800,1276543,7958257,13,7
9234800,1276657,7958143,7,13
9234800,1276771,7958029,1,19
9234800,1276999,7957801,19,1
9234800,1277197,7957603,7,13
9234800,1277299,7957501,19,1
9234800,1277359,7957441,19,1
9234800,1277449,7957351,19,1
9234800,1277761,7957039,1,19
9234800,1277833,7956967,13,7
9234800,1277911,7956889,1,19
9234800,1278031,7956769,1,19
9234800,1278097,7956703,7,13
9234800,1278139,7956661,19,1
9234800,1278373,7956427,13,7
9234800,1278391,7956409,1,19
9234800,1278637,7956163,7,13
9234800,1278769,7956031,19,1
9234800,1279081,7955719,1,19
9234800,1279093,7955707,13,7
9234800,1279249,7955551,19,1
9234800,1279309,7955491,19,1
9234800,1279561,7955239,1,19
9234800,1279609,7955191,19,1
9234800,1279687,7955113,7,13
9234800,1279753,7955047,13,7
9234800,1279807,7954993,7,13
9234800,1280023,7954777,13,7
9234800,1280179,7954621,19,1
9234800,1280407,7954393,7,13
9234800,1280869,7953931,19,1
9234800,1280989,7953811,19,1
9234800,1281667,7953133,7,13
9234800,1281691,7953109,1,19
9234800,1281703,7953097,13,7
9234800,1281727,7953073,7,13
9234800,1281739,7953061,19,1
9234800,1281871,7952929,1,19
9234800,1282033,7952767,13,7
9234800,1282117,7952683,7,13
9234800,1282201,7952599,1,19
9234800,1282213,7952587,13,7
9234800,1282381,7952419,1,19
9234800,1282717,7952083,7,13
9234800,1282903,7951897,13,7
9234800,1282951,7951849,1,19
9234800,1282993,7951807,13,7
9234800,1283119,7951681,19,1
9234800,1283179,7951621,19,1
9234800,1283323,7951477,13,7
9234800,1283473,7951327,13,7
9234800,1283719,7951081,19,1
9234800,1283767,7951033,7,13
9234800,1283839,7950961,19,1
9234800,1283881,7950919,1,19
9234800,1284211,7950589,1,19
9234800,1284271,7950529,1,19
9234800,1284301,7950499,1,19
9234800,1284523,7950277,13,7
9234800,1284691,7950109,1,19
9234800,1284901,7949899,1,19
9234800,1284967,7949833,7,13
9234800,1285069,7949731,19,1
9234800,1285147,7949653,7,13
9234800,1285237,7949563,7,13
9234800,1285513,7949287,13,7
9234800,1285633,7949167,13,7
9234800,1285699,7949101,19,1
9234800,1285717,7949083,7,13
9234800,1286149,7948651,19,1
9234800,1286191,7948609,1,19
9234800,1286239,7948561,19,1
9234800,1286287,7948513,7,13
9234800,1286323,7948477,13,7
9234800,1286371,7948429,1,19
9234800,1286491,7948309,1,19
9234800,1286521,7948279,1,19
9234800,1286533,7948267,13,7
9234800,1286647,7948153,7,13
9234800,1286653,7948147,13,7
9234800,1286707,7948093,7,13
9234800,1287061,7947739,1,19
9234800,1287109,7947691,19,1
9234800,1287199,7947601,19,1
9234800,1287373,7947427,13,7
9234800,1287457,7947343,7,13
9234800,1287739,7947061,19,1
9234800,1287787,7947013,7,13
9234800,1287961,7946839,1,19
9234800,1287967,7946833,7,13
9234800,1288009,7946791,19,1
9234800,1288117,7946683,7,13
9234800,1288171,7946629,1,19
9234800,1288831,7945969,1,19
9234800,1288843,7945957,13,7
9234800,1288891,7945909,1,19
9234800,1288951,7945849,1,19
9234800,1289179,7945621,19,1
9234800,1289371,7945429,1,19
9234800,1289557,7945243,7,13
9234800,1289677,7945123,7,13
9234800,1289713,7945087,13,7
9234800,1289839,7944961,19,1
9234800,1289881,7944919,1,19
9234800,1290013,7944787,13,7
9234800,1290169,7944631,19,1
9234800,1290319,7944481,19,1
9234800,1290427,7944373,7,13
9234800,1290607,7944193,7,13
9234800,1290631,7944169,1,19
9234800,1290637,7944163,7,13
9234800,1291063,7943737,13,7
9234800,1291327,7943473,7,13
9234800,1291357,7943443,7,13
9234800,1291369,7943431,19,1
9234800,1291483,7943317,13,7
9234800,1292293,7942507,13,7
9234800,1292329,7942471,19,1
9234800,1292353,7942447,13,7
9234800,1292737,7942063,7,13
9234800,1293133,7941667,13,7
9234800,1293283,7941517,13,7
9234800,1293319,7941481,19,1
9234800,1293421,7941379,1,19
9234800,1293553,7941247,13,7
9234800,1293739,7941061,19,1
9234800,1293829,7940971,19,1
9234800,1293949,7940851,19,1
9234800,1293967,7940833,7,13
9234800,1294039,7940761,19,1
9234800,1294081,7940719,1,19
9234800,1294459,7940341,19,1
9234800,1294471,7940329,1,19
9234800,1294561,7940239,1,19
9234800,1294723,7940077,13,7
9234800,1294753,7940047,13,7
9234800,1294849,7939951,19,1
9234800,1294939,7939861,19,1
9234800,1295389,7939411,19,1
9234800,1295551,7939249,1,19
9234800,1295563,7939237,13,7
9234800,1295611,7939189,1,19
9234800,1295653,7939147,13,7
9234800,1295761,7939039,1,19
9234800,1295809,7938991,19,1
9234800,1295881,7938919,1,19
9234800,1295989,7938811,19,1
9234800,1296283,7938517,13,7
9234800,1296319,7938481,19,1
9234800,1296343,7938457,13,7
9234800,1296679,7938121,19,1
9234800,1296721,7938079,1,19
9234800,1296817,7937983,7,13
9234800,1297249,7937551,19,1
9234800,1297333,7937467,13,7
9234800,1297357,7937443,7,13
9234800,1297369,7937431,19,1
9234800,1297411,7937389,1,19
9234800,1297501,7937299,1,19
9234800,1297537,7937263,7,13
9234800,1297693,7937107,13,7
9234800,1298371,7936429,1,19
9234800,1298467,7936333,7,13
9234800,1298617,7936183,7,13
9234800,1299097,7935703,7,13
9234800,1299289,7935511,19,1
9234800,1299541,7935259,1,19
9234800,1299673,7935127,13,7
9234800,1299841,7934959,1,19
9234800,1299877,7934923,7,13
9234800,1299979,7934821,19,1
9234800,1300021,7934779,1,19
9234800,1300051,7934749,1,19
9234800,1300141,7934659,1,19
9234800,1300147,7934653,7,13
9234800,1300309,7934491,19,1
9234800,1300333,7934467,13,7
9234800,1300477,7934323,7,13
9234800,1300597,7934203,7,13
9234800,1300633,7934167,13,7
9234800,1300669,7934131,19,1
9234800,1300681,7934119,1,19
9234800,1300711,7934089,1,19
9234800,1300771,7934029,1,19
9234800,1300843,7933957,13,7
9234800,1300963,7933837,13,7
9234800,1301023,7933777,13,7
9234800,1301353,7933447,13,7
9234800,1301437,7933363,7,13
9234800,1301527,7933273,7,13
9234800,1301701,7933099,1,19
9234800,1301761,7933039,1,19
9234800,1301779,7933021,19,1
9234800,1301827,7932973,7,13
9234800,1301851,7932949,1,19
9234800,1301887,7932913,7,13
9234800,1301929,7932871,19,1
9234800,1302019,7932781,19,1
9234800,1302121,7932679,1,19
9234800,1302163,7932637,13,7
9234800,1302181,7932619,1,19
9234800,1302199,7932601,19,1
9234800,1302349,7932451,19,1
9234800,1302397,7932403,7,13
9234800,1302493,7932307,13,7
9234800,1302607,7932193,7,13
9234800,1302919,7931881,19,1
9234800,1302937,7931863,7,13
9234800,1303069,7931731,19,1
9234800,1303189,7931611,19,1
9234800,1303363,7931437,13,7
9234800,1303417,7931383,7,13
9234800,1303453,7931347,13,7
9234800,1303507,7931293,7,13
9234800,1303537,7931263,7,13
9234800,1303567,7931233,7,13
9234800,1303867,7930933,7,13
9234800,1304209,7930591,19,1
9234800,1304221,7930579,1,19
9234800,1304389,7930411,19,1
9234800,1304503,7930297,13,7
9234800,1304707,7930093,7,13
9234800,1304803,7929997,13,7
9234800,1304893,7929907,13,7
9234800,1305061,7929739,1,19
9234800,1305097,7929703,7,13
9234800,1305163,7929637,13,7
9234800,1305253,7929547,13,7
9234800,1305919,7928881,19,1
9234800,1306213,7928587,13,7
9234800,1306237,7928563,7,13
9234800,1306267,7928533,7,13
9234800,1306273,7928527,13,7
9234800,1306339,7928461,19,1
9234800,1306483,7928317,13,7
9234800,1306717,7928083,7,13
9234800,1306777,7928023,7,13
9234800,1307161,7927639,1,19
9234800,1307311,7927489,1,19
9234800,1307473,7927327,13,7
9234800,1307641,7927159,1,19
9234800,1307701,7927099,1,19
9234800,1307731,7927069,1,19
9234800,1307833,7926967,13,7
9234800,1307893,7926907,13,7
9234800,1308157,7926643,7,13
9234800,1308313,7926487,13,7
9234800,1308331,7926469,1,19
9234800,1308457,7926343,7,13
9234800,1308523,7926277,13,7
9234800,1308529,7926271,19,1
9234800,1308613,7926187,13,7
9234800,1308649,7926151,19,1
9234800,1308691,7926109,1,19
9234800,1308709,7926091,19,1
9234800,1308841,7925959,1,19
9234800,1308883,7925917,13,7
9234800,1308943,7925857,13,7
9234800,1309039,7925761,19,1
9234800,1309249,7925551,19,1
9234800,1309291,7925509,1,19
9234800,1309411,7925389,1,19
9234800,1309591,7925209,1,19
9234800,1309699,7925101,19,1
9234800,1309717,7925083,7,13
9234800,1309747,7925053,7,13
9234800,1309921,7924879,1,19
9234800,1310041,7924759,1,19
9234800,1310119,7924681,19,1
9234800,1310269,7924531,19,1
9234800,1310371,7924429,1,19
9234800,1310383,7924417,13,7
9234800,1310599,7924201,19,1
9234800,1310809,7923991,19,1
9234800,1311067,7923733,7,13
9234800,1311109,7923691,19,1
9234800,1311301,7923499,1,19
9234800,1311403,7923397,13,7
9234800,1311523,7923277,13,7
9234800,1311721,7923079,1,19
9234800,1311733,7923067,13,7
9234800,1311799,7923001,19,1
9234800,1311847,7922953,7,13
9234800,1311853,7922947,13,7
9234800,1311991,7922809,1,19
9234800,1312603,7922197,13,7
9234800,1312777,7922023,7,13
9234800,1312813,7921987,13,7
9234800,1312891,7921909,1,19
9234800,1313041,7921759,1,19
9234800,1313239,7921561,19,1
9234800,1313311,7921489,1,19
9234800,1313449,7921351,19,1
9234800,1313629,7921171,19,1
9234800,1313797,7921003,7,13
9234800,1314571,7920229,1,19
9234800,1315177,7919623,7,13
9234800,1315183,7919617,13,7
9234800,1315243,7919557,13,7
9234800,1315309,7919491,19,1
9234800,1315519,7919281,19,1
9234800,1315549,7919251,19,1
9234800,1315591,7919209,1,19
9234800,1315621,7919179,1,19
9234800,1315627,7919173,7,13
9234800,1315711,7919089,1,19
