N,P,Q,Res P,Res Q
9234800,16453,9218347,13,7
9234800,16477,9218323,7,13
9234800,16519,9218281,19,1
9234800,16603,9218197,13,7
9234800,16693,9218107,13,7
9234800,16963,9217837,13,7
9234800,16993,9217807,13,7
9234800,17041,9217759,1,19
9234800,17239,9217561,19,1
9234800,17359,9217441,19,1
9234800,17377,9217423,7,13
9234800,17419,9217381,19,1
9234800,17491,9217309,1,19
9234800,17497,9217303,7,13
9234800,17659,9217141,19,1
9234800,17749,9217051,19,1
9234800,17827,9216973,7,13
9234800,18013,9216787,13,7
9234800,18169,9216631,19,1
9234800,18253,9216547,13,7
9234800,18367,9216433,7,13
9234800,18427,9216373,7,13
9234800,18457,9216343,7,13
9234800,18517,9216283,7,13
9234800,18553,9216247,13,7
9234800,18661,9216139,1,19
9234800,18973,9215827,13,7
9234800,18979,9215821,19,1
9234800,19333,9215467,13,7
9234800,19381,9215419,1,19
9234800,19483,9215317,13,7
9234800,19501,9215299,1,19
9234800,19507,9215293,7,13
9234800,19753,9215047,13,7
9234800,19777,9215023,7,13
9234800,19813,9214987,13,7
9234800,19843,9214957,13,7
9234800,20071,9214729,1,19
9234800,20107,9214693,7,13
9234800,20113,9214687,13,7
9234800,20233,9214567,13,7
9234800,20269,9214531,19,1
9234800,20359,9214441,19,1
9234800,20407,9214393,7,13
9234800,20533,9214267,13,7
9234800,20599,9214201,19,1
9234800,20611,9214189,1,19
9234800,20773,9214027,13,7
9234800,20929,9213871,19,1
9234800,21067,9213733,7,13
9234800,21163,9213637,13,7
9234800,21283,9213517,13,7
9234800,21481,9213319,1,19
9234800,21487,9213313,7,13
9234800,21493,9213307,13,7
9234800,21517,9213283,7,13
9234800,21601,9213199,1,19
9234800,21727,9213073,7,13
9234800,21991,9212809,1,19
9234800,22027,9212773,7,13
9234800,22159,9212641,19,1
9234800,22453,9212347,13,7
9234800,22549,9212251,19,1
9234800,22567,9212233,7,13
9234800,22741,9212059,1,19
9234800,22963,9211837,13,7
9234800,23041,9211759,1,19
9234800,23053,9211747,13,7
9234800,23203,9211597,13,7
9234800,23293,9211507,13,7
9234800,23431,9211369,1,19
9234800,23497,9211303,7,13
9234800,23509,9211291,19,1
9234800,23593,9211207,13,7
9234800,23623,9211177,13,7
9234800,23629,9211171,19,1
9234800,23827,9210973,7,13
9234800,23869,9210931,19,1
9234800,23929,9210871,19,1
9234800,24007,9210793,7,13
9234800,24019,9210781,19,1
9234800,24043,9210757,13,7
