N cible,Premier P,Premier Q,Residu P,Residu Q,Densite G
32348,14149,18199,19,19,0.006924693953258316
32348,14221,18127,1,7,0.006924693953258316
32348,14251,18097,1,7,0.006924693953258316
32348,14389,17959,19,19,0.006924693953258316
32348,14419,17929,19,19,0.006924693953258316
32348,14437,17911,7,1,0.006924693953258316
32348,14557,17791,7,1,0.006924693953258316
32348,14767,17581,7,1,0.006924693953258316
32348,14779,17569,19,19,0.006924693953258316
32348,14797,17551,7,1,0.006924693953258316
32348,14851,17497,1,7,0.006924693953258316
32348,14929,17419,19,19,0.006924693953258316
32348,14947,17401,7,1,0.006924693953258316
32348,15031,17317,1,7,0.006924693953258316
32348,15091,17257,1,7,0.006924693953258316
32348,15139,17209,19,19,0.006924693953258316
32348,15241,17107,1,7,0.006924693953258316
32348,15271,17077,1,7,0.006924693953258316
32348,15307,17041,7,1,0.006924693953258316
32348,15319,17029,19,19,0.006924693953258316
32348,15361,16987,1,7,0.006924693953258316
32348,15427,16921,7,1,0.006924693953258316
32348,15601,16747,1,7,0.006924693953258316
32348,15607,16741,7,1,0.006924693953258316
32348,15619,16729,19,19,0.006924693953258316
32348,15649,16699,19,19,0.006924693953258316
32348,15787,16561,7,1,0.006924693953258316
32348,15901,16447,1,7,0.006924693953258316
32348,15937,16411,7,1,0.006924693953258316
