N,P,Q,Res P,Res Q
30030,17,30013,17,13
30030,19,30011,19,11
30030,41,29989,11,19
30030,47,29983,17,13
30030,71,29959,11,19
30030,83,29947,23,7
30030,103,29927,13,17
30030,109,29921,19,11
30030,113,29917,23,7
30030,149,29881,29,1
30030,151,29879,1,29
30030,157,29873,7,23
30030,163,29867,13,17
30030,167,29863,17,13
30030,179,29851,29,1
30030,193,29837,13,17
30030,197,29833,17,13
30030,211,29819,1,29
30030,227,29803,17,13
30030,241,29789,1,29
30030,269,29761,29,1
30030,271,29759,1,29
30030,277,29753,7,23
30030,307,29723,7,23
30030,313,29717,13,17
30030,347,29683,17,13
30030,359,29671,29,1
30030,367,29663,7,23
30030,389,29641,29,1
30030,397,29633,7,23
30030,401,29629,11,19
30030,419,29611,29,1
30030,431,29599,11,19
30030,443,29587,23,7
30030,449,29581,29,1
30030,457,29573,7,23
30030,461,29569,11,19
30030,463,29567,13,17
30030,499,29531,19,11
30030,503,29527,23,7
30030,547,29483,7,23
30030,557,29473,17,13
30030,577,29453,7,23
30030,587,29443,17,13
30030,593,29437,23,7
30030,601,29429,1,29
30030,607,29423,7,23
30030,619,29411,19,11
30030,631,29399,1,29
30030,641,29389,11,19
30030,643,29387,13,17
30030,647,29383,17,13
30030,683,29347,23,7
30030,691,29339,1,29
30030,719,29311,29,1
30030,727,29303,7,23
30030,733,29297,13,17
30030,743,29287,23,7
30030,761,29269,11,19
30030,787,29243,7,23
30030,809,29221,29,1
30030,821,29209,11,19
30030,823,29207,13,17
30030,829,29201,19,11
30030,839,29191,29,1
30030,857,29173,17,13
30030,863,29167,23,7
30030,877,29153,7,23
30030,883,29147,13,17
30030,907,29123,7,23
30030,929,29101,29,1
30030,953,29077,23,7
30030,967,29063,7,23
30030,971,29059,11,19
30030,997,29033,7,23
30030,1009,29021,19,11
30030,1013,29017,23,7
30030,1021,29009,1,29
30030,1051,28979,1,29
30030,1069,28961,19,11
30030,1097,28933,17,13
30030,1103,28927,23,7
30030,1109,28921,29,1
30030,1129,28901,19,11
30030,1151,28879,11,19
30030,1163,28867,23,7
30030,1171,28859,1,29
30030,1187,28843,17,13
30030,1193,28837,23,7
30030,1213,28817,13,17
30030,1217,28813,17,13
30030,1223,28807,23,7
30030,1237,28793,7,23
30030,1259,28771,29,1
30030,1277,28753,17,13
30030,1279,28751,19,11
30030,1301,28729,11,19
30030,1307,28723,17,13
30030,1319,28711,29,1
30030,1327,28703,7,23
30030,1361,28669,11,19
30030,1367,28663,17,13
30030,1373,28657,23,7
30030,1381,28649,1,29
30030,1399,28631,19,11
30030,1409,28621,29,1
30030,1423,28607,13,17
30030,1427,28603,17,13
30030,1433,28597,23,7
30030,1439,28591,29,1
30030,1451,28579,11,19
30030,1459,28571,19,11
30030,1471,28559,1,29
30030,1481,28549,11,19
30030,1483,28547,13,17
30030,1489,28541,19,11
30030,1493,28537,23,7
30030,1531,28499,1,29
30030,1553,28477,23,7
30030,1567,28463,7,23
30030,1583,28447,23,7
30030,1597,28433,7,23
30030,1601,28429,11,19
30030,1619,28411,29,1
30030,1621,28409,1,29
30030,1627,28403,7,23
30030,1637,28393,17,13
30030,1721,28309,11,19
30030,1723,28307,13,17
30030,1733,28297,23,7
30030,1741,28289,1,29
30030,1747,28283,7,23
30030,1753,28277,13,17
30030,1801,28229,1,29
30030,1811,28219,11,19
30030,1847,28183,17,13
30030,1867,28163,7,23
30030,1879,28151,19,11
30030,1907,28123,17,13
30030,1931,28099,11,19
30030,1933,28097,13,17
30030,1949,28081,29,1
30030,1973,28057,23,7
30030,1979,28051,29,1
30030,1999,28031,19,11
30030,2003,28027,23,7
30030,2011,28019,1,29
30030,2029,28001,19,11
30030,2063,27967,23,7
30030,2069,27961,29,1
30030,2083,27947,13,17
30030,2087,27943,17,13
30030,2089,27941,19,11
30030,2111,27919,11,19
30030,2113,27917,13,17
30030,2129,27901,29,1
30030,2137,27893,7,23
30030,2179,27851,19,11
30030,2203,27827,13,17
30030,2207,27823,17,13
30030,2213,27817,23,7
30030,2221,27809,1,29
30030,2237,27793,17,13
30030,2239,27791,19,11
30030,2251,27779,1,29
30030,2267,27763,17,13
30030,2281,27749,1,29
30030,2287,27743,7,23
30030,2293,27737,13,17
30030,2297,27733,17,13
30030,2333,27697,23,7
30030,2339,27691,29,1
30030,2341,27689,1,29
30030,2357,27673,17,13
30030,2377,27653,7,23
30030,2383,27647,13,17
30030,2399,27631,29,1
30030,2447,27583,17,13
30030,2503,27527,13,17
30030,2521,27509,1,29
30030,2543,27487,23,7
30030,2549,27481,29,1
30030,2551,27479,1,29
30030,2593,27437,13,17
30030,2621,27409,11,19
30030,2633,27397,23,7
30030,2663,27367,23,7
30030,2693,27337,23,7
30030,2731,27299,1,29
30030,2749,27281,19,11
30030,2753,27277,23,7
30030,2777,27253,17,13
30030,2789,27241,29,1
30030,2791,27239,1,29
30030,2819,27211,29,1
30030,2833,27197,13,17
30030,2851,27179,1,29
30030,2887,27143,7,23
30030,2903,27127,23,7
30030,2927,27103,17,13
30030,2939,27091,29,1
30030,2953,27077,13,17
30030,2957,27073,17,13
30030,2963,27067,23,7
30030,2969,27061,29,1
30030,2971,27059,1,29
30030,2999,27031,29,1
30030,3019,27011,19,11
30030,3037,26993,7,23
30030,3049,26981,19,11
30030,3079,26951,19,11
30030,3083,26947,23,7
30030,3109,26921,19,11
30030,3137,26893,17,13
30030,3167,26863,17,13
30030,3169,26861,19,11
30030,3181,26849,1,29
30030,3191,26839,11,19
30030,3209,26821,29,1
30030,3217,26813,7,23
30030,3229,26801,19,11
30030,3253,26777,13,17
30030,3271,26759,1,29
30030,3299,26731,29,1
30030,3301,26729,1,29
30030,3307,26723,7,23
30030,3313,26717,13,17
30030,3319,26711,19,11
30030,3329,26701,29,1
30030,3331,26699,1,29
30030,3343,26687,13,17
30030,3347,26683,17,13
30030,3361,26669,1,29
30030,3389,26641,29,1
30030,3433,26597,13,17
30030,3457,26573,7,23
30030,3469,26561,19,11
30030,3491,26539,11,19
30030,3517,26513,7,23
30030,3529,26501,19,11
30030,3533,26497,23,7
30030,3541,26489,1,29
30030,3571,26459,1,29
30030,3581,26449,11,19
30030,3593,26437,23,7
30030,3607,26423,7,23
30030,3613,26417,13,17
