N,P,Q,Res P,Res Q
30030,3623,26407,23,7
30030,3631,26399,1,29
30030,3637,26393,7,23
30030,3643,26387,13,17
30030,3659,26371,29,1
30030,3673,26357,13,17
30030,3691,26339,1,29
30030,3709,26321,19,11
30030,3733,26297,13,17
30030,3767,26263,17,13
30030,3769,26261,19,11
30030,3779,26251,29,1
30030,3793,26237,13,17
30030,3803,26227,23,7
30030,3821,26209,11,19
30030,3847,26183,7,23
30030,3853,26177,13,17
30030,3877,26153,7,23
30030,3889,26141,19,11
30030,3911,26119,11,19
30030,3917,26113,17,13
30030,3919,26111,19,11
30030,3923,26107,23,7
30030,3931,26099,1,29
30030,3947,26083,17,13
30030,3989,26041,29,1
30030,4001,26029,11,19
30030,4013,26017,23,7
30030,4027,26003,7,23
30030,4049,25981,29,1
30030,4079,25951,29,1
30030,4091,25939,11,19
30030,4099,25931,19,11
30030,4111,25919,1,29
30030,4127,25903,17,13
30030,4157,25873,17,13
30030,4211,25819,11,19
30030,4229,25801,29,1
30030,4231,25799,1,29
30030,4259,25771,29,1
30030,4271,25759,11,19
30030,4283,25747,23,7
30030,4289,25741,29,1
30030,4297,25733,7,23
30030,4327,25703,7,23
30030,4337,25693,17,13
30030,4357,25673,7,23
30030,4363,25667,13,17
30030,4373,25657,23,7
30030,4391,25639,11,19
30030,4397,25633,17,13
30030,4409,25621,29,1
30030,4421,25609,11,19
30030,4441,25589,1,29
30030,4447,25583,7,23
30030,4451,25579,11,19
30030,4493,25537,23,7
30030,4507,25523,7,23
30030,4561,25469,1,29
30030,4567,25463,7,23
30030,4583,25447,23,7
30030,4591,25439,1,29
30030,4621,25409,1,29
30030,4639,25391,19,11
30030,4657,25373,7,23
30030,4663,25367,13,17
30030,4673,25357,23,7
30030,4691,25339,11,19
30030,4721,25309,11,19
30030,4723,25307,13,17
30030,4729,25301,19,11
30030,4783,25247,13,17
30030,4787,25243,17,13
30030,4793,25237,23,7
30030,4801,25229,1,29
30030,4861,25169,1,29
30030,4877,25153,17,13
30030,4903,25127,13,17
30030,4909,25121,19,11
30030,4919,25111,29,1
30030,4933,25097,13,17
30030,4943,25087,23,7
30030,4957,25073,7,23
30030,4973,25057,23,7
30030,4993,25037,13,17
30030,4999,25031,19,11
30030,5051,24979,11,19
30030,5059,24971,19,11
30030,5077,24953,7,23
30030,5087,24943,17,13
30030,5107,24923,7,23
30030,5113,24917,13,17
30030,5153,24877,23,7
30030,5171,24859,11,19
30030,5179,24851,19,11
30030,5189,24841,29,1
30030,5209,24821,19,11
30030,5231,24799,11,19
30030,5237,24793,17,13
30030,5281,24749,1,29
30030,5297,24733,17,13
30030,5333,24697,23,7
30030,5347,24683,7,23
30030,5399,24631,29,1
30030,5407,24623,7,23
30030,5419,24611,19,11
30030,5437,24593,7,23
30030,5479,24551,19,11
30030,5483,24547,23,7
30030,5503,24527,13,17
30030,5521,24509,1,29
30030,5531,24499,11,19
30030,5557,24473,7,23
30030,5591,24439,11,19
30030,5623,24407,13,17
30030,5639,24391,29,1
30030,5651,24379,11,19
30030,5657,24373,17,13
30030,5659,24371,19,11
30030,5693,24337,23,7
30030,5701,24329,1,29
30030,5749,24281,19,11
30030,5779,24251,19,11
30030,5783,24247,23,7
30030,5791,24239,1,29
30030,5801,24229,11,19
30030,5807,24223,17,13
30030,5827,24203,7,23
30030,5849,24181,29,1
30030,5851,24179,1,29
30030,5861,24169,11,19
30030,5879,24151,29,1
30030,5897,24133,17,13
30030,5923,24107,13,17
30030,5927,24103,17,13
30030,5939,24091,29,1
30030,5953,24077,13,17
30030,5981,24049,11,19
30030,5987,24043,17,13
30030,6007,24023,7,23
30030,6011,24019,11,19
30030,6029,24001,29,1
30030,6037,23993,7,23
30030,6053,23977,23,7
30030,6073,23957,13,17
30030,6101,23929,11,19
30030,6113,23917,23,7
30030,6121,23909,1,29
30030,6131,23899,11,19
30030,6143,23887,23,7
30030,6151,23879,1,29
30030,6173,23857,23,7
30030,6197,23833,17,13
30030,6199,23831,19,11
30030,6203,23827,23,7
30030,6211,23819,1,29
30030,6217,23813,7,23
30030,6229,23801,19,11
30030,6257,23773,17,13
30030,6263,23767,23,7
30030,6269,23761,29,1
30030,6277,23753,7,23
30030,6287,23743,17,13
30030,6311,23719,11,19
30030,6343,23687,13,17
30030,6353,23677,23,7
30030,6359,23671,29,1
30030,6361,23669,1,29
30030,6367,23663,7,23
30030,6397,23633,7,23
30030,6421,23609,1,29
30030,6427,23603,7,23
30030,6449,23581,29,1
30030,6469,23561,19,11
30030,6473,23557,23,7
30030,6481,23549,1,29
30030,6491,23539,11,19
30030,6521,23509,11,19
30030,6571,23459,1,29
30030,6599,23431,29,1
30030,6659,23371,29,1
30030,6661,23369,1,29
30030,6673,23357,13,17
30030,6691,23339,1,29
30030,6703,23327,13,17
30030,6709,23321,19,11
30030,6719,23311,29,1
30030,6733,23297,13,17
30030,6737,23293,17,13
30030,6761,23269,11,19
30030,6779,23251,29,1
30030,6803,23227,23,7
30030,6827,23203,17,13
30030,6829,23201,19,11
30030,6833,23197,23,7
30030,6841,23189,1,29
30030,6857,23173,17,13
30030,6863,23167,23,7
30030,6871,23159,1,29
30030,6899,23131,29,1
30030,6949,23081,19,11
30030,6959,23071,29,1
30030,6967,23063,7,23
30030,6971,23059,11,19
30030,6977,23053,17,13
30030,6991,23039,1,29
30030,7001,23029,11,19
30030,7013,23017,23,7
30030,7019,23011,29,1
30030,7027,23003,7,23
30030,7057,22973,7,23
30030,7069,22961,19,11
30030,7109,22921,29,1
30030,7129,22901,19,11
30030,7159,22871,19,11
30030,7177,22853,7,23
30030,7213,22817,13,17
30030,7219,22811,19,11
30030,7243,22787,13,17
30030,7247,22783,17,13
30030,7253,22777,23,7
30030,7309,22721,19,11
30030,7321,22709,1,29
30030,7331,22699,11,19
30030,7333,22697,13,17
30030,7351,22679,1,29
30030,7393,22637,13,17
30030,7411,22619,1,29
30030,7417,22613,7,23
30030,7457,22573,17,13
30030,7459,22571,19,11
30030,7481,22549,11,19
30030,7487,22543,17,13
30030,7489,22541,19,11
30030,7499,22531,29,1
30030,7529,22501,29,1
30030,7547,22483,17,13
30030,7549,22481,19,11
30030,7561,22469,1,29
30030,7577,22453,17,13
30030,7583,22447,23,7
30030,7589,22441,29,1
30030,7621,22409,1,29
30030,7639,22391,19,11
30030,7649,22381,29,1
30030,7681,22349,1,29
30030,7687,22343,7,23
30030,7723,22307,13,17
30030,7727,22303,17,13
30030,7753,22277,13,17
30030,7757,22273,17,13
30030,7759,22271,19,11
30030,7841,22189,11,19
30030,7873,22157,13,17
30030,7877,22153,17,13
30030,7883,22147,23,7
30030,7901,22129,11,19
30030,7907,22123,17,13
30030,7919,22111,29,1
30030,7937,22093,17,13
30030,7951,22079,1,29
30030,7963,22067,13,17
30030,7993,22037,13,17
30030,8017,22013,7,23
30030,8039,21991,29,1
30030,8053,21977,13,17
30030,8069,21961,29,1
30030,8087,21943,17,13
30030,8093,21937,23,7
30030,8101,21929,1,29
30030,8167,21863,7,23
30030,8171,21859,11,19
30030,8179,21851,19,11
30030,8191,21839,1,29
30030,8209,21821,19,11
30030,8231,21799,11,19
30030,8243,21787,23,7
30030,8263,21767,13,17
30030,8273,21757,23,7
30030,8291,21739,11,19
30030,8293,21737,13,17
30030,8317,21713,7,23
30030,8329,21701,19,11
30030,8369,21661,29,1
30030,8419,21611,19,11
30030,8429,21601,29,1
30030,8431,21599,1,29
30030,8443,21587,13,17
30030,8461,21569,1,29
30030,8467,21563,7,23
30030,8501,21529,11,19
30030,8513,21517,23,7
30030,8527,21503,7,23
30030,8537,21493,17,13
30030,8539,21491,19,11
30030,8543,21487,23,7
30030,8563,21467,13,17
30030,8597,21433,17,13
30030,8623,21407,13,17
30030,8629,21401,19,11
30030,8647,21383,7,23
30030,8689,21341,19,11
30030,8707,21323,7,23
30030,8713,21317,13,17
30030,8747,21283,17,13
30030,8753,21277,23,7
30030,8761,21269,1,29
30030,8783,21247,23,7
30030,8803,21227,13,17
30030,8819,21211,29,1
30030,8837,21193,17,13
30030,8839,21191,19,11
30030,8861,21169,11,19
30030,8867,21163,17,13
30030,8887,21143,7,23
30030,8923,21107,13,17
30030,8929,21101,19,11
30030,8941,21089,1,29
30030,8963,21067,23,7
30030,8969,21061,29,1
30030,8971,21059,1,29
30030,8999,21031,29,1
30030,9007,21023,7,23
30030,9011,21019,11,19
30030,9013,21017,13,17
30030,9029,21001,29,1
30030,9049,20981,19,11
30030,9067,20963,7,23
30030,9091,20939,1,29
30030,9109,20921,19,11
30030,9127,20903,7,23
30030,9133,20897,13,17
30030,9151,20879,1,29
30030,9157,20873,7,23
30030,9173,20857,23,7
30030,9181,20849,1,29
30030,9221,20809,11,19
30030,9241,20789,1,29
30030,9257,20773,17,13
30030,9277,20753,7,23
30030,9281,20749,11,19
30030,9283,20747,13,17
30030,9311,20719,11,19
30030,9323,20707,23,7
30030,9337,20693,7,23
30030,9349,20681,19,11
30030,9391,20639,1,29
30030,9403,20627,13,17
30030,9419,20611,29,1
30030,9431,20599,11,19
30030,9437,20593,17,13
30030,9467,20563,17,13
30030,9479,20551,29,1
30030,9497,20533,17,13
30030,9521,20509,11,19
30030,9547,20483,7,23
30030,9551,20479,11,19
30030,9587,20443,17,13
30030,9619,20411,19,11
30030,9623,20407,23,7
30030,9631,20399,1,29
30030,9661,20369,1,29
30030,9677,20353,17,13
30030,9689,20341,29,1
30030,9697,20333,7,23
30030,9733,20297,13,17
30030,9743,20287,23,7
30030,9769,20261,19,11
30030,9781,20249,1,29
30030,9811,20219,1,29
30030,9829,20201,19,11
30030,9857,20173,17,13
30030,9883,20147,13,17
30030,9887,20143,17,13
30030,9901,20129,1,29
30030,9907,20123,7,23
30030,9923,20107,23,7
30030,9929,20101,29,1
30030,9941,20089,11,19
30030,9967,20063,7,23
30030,10007,20023,17,13
30030,10009,20021,19,11
30030,10037,19993,17,13
30030,10039,19991,19,11
30030,10067,19963,17,13
30030,10069,19961,19,11
30030,10093,19937,13,17
30030,10103,19927,23,7
30030,10111,19919,1,29
30030,10139,19891,29,1
30030,10141,19889,1,29
30030,10163,19867,23,7
30030,10169,19861,29,1
30030,10177,19853,7,23
30030,10211,19819,11,19
30030,10253,19777,23,7
30030,10267,19763,7,23
30030,10271,19759,11,19
30030,10303,19727,13,17
30030,10313,19717,23,7
30030,10321,19709,1,29
30030,10331,19699,11,19
30030,10333,19697,13,17
30030,10343,19687,23,7
30030,10369,19661,19,11
30030,10427,19603,17,13
30030,10433,19597,23,7
30030,10453,19577,13,17
30030,10459,19571,19,11
30030,10477,19553,7,23
30030,10487,19543,17,13
30030,10499,19531,29,1
30030,10529,19501,29,1
30030,10559,19471,29,1
30030,10567,19463,7,23
30030,10589,19441,29,1
30030,10597,19433,7,23
30030,10601,19429,11,19
30030,10607,19423,17,13
30030,10613,19417,23,7
30030,10627,19403,7,23
30030,10639,19391,19,11
30030,10651,19379,1,29
30030,10657,19373,7,23
30030,10711,19319,1,29
30030,10729,19301,19,11
30030,10771,19259,1,29
30030,10781,19249,11,19
30030,10799,19231,29,1
30030,10847,19183,17,13
30030,10867,19163,7,23
30030,10889,19141,29,1
30030,10891,19139,1,29
30030,10909,19121,19,11
30030,10949,19081,29,1
30030,10957,19073,7,23
30030,10979,19051,29,1
30030,10993,19037,13,17
30030,11057,18973,17,13
30030,11071,18959,1,29
30030,11083,18947,13,17
30030,11113,18917,13,17
30030,11117,18913,17,13
30030,11119,18911,19,11
30030,11131,18899,1,29
30030,11161,18869,1,29
30030,11171,18859,11,19
30030,11243,18787,23,7
30030,11257,18773,7,23
30030,11273,18757,23,7
30030,11287,18743,7,23
30030,11299,18731,19,11
30030,11311,18719,1,29
30030,11317,18713,7,23
30030,11329,18701,19,11
30030,11351,18679,11,19
30030,11369,18661,29,1
30030,11393,18637,23,7
30030,11437,18593,7,23
30030,11443,18587,13,17
30030,11447,18583,17,13
30030,11489,18541,29,1
30030,11491,18539,1,29
30030,11527,18503,7,23
30030,11549,18481,29,1
30030,11579,18451,29,1
30030,11587,18443,7,23
30030,11597,18433,17,13
30030,11617,18413,7,23
30030,11633,18397,23,7
30030,11677,18353,7,23
30030,11689,18341,19,11
30030,11701,18329,1,29
30030,11717,18313,17,13
30030,11719,18311,19,11
30030,11743,18287,13,17
30030,11777,18253,17,13
30030,11779,18251,19,11
30030,11801,18229,11,19
30030,11807,18223,17,13
30030,11813,18217,23,7
30030,11831,18199,11,19
30030,11839,18191,19,11
30030,11887,18143,7,23
30030,11897,18133,17,13
30030,11903,18127,23,7
30030,11909,18121,29,1
30030,11933,18097,23,7
30030,11941,18089,1,29
30030,11953,18077,13,17
30030,11969,18061,29,1
30030,11971,18059,1,29
30030,11981,18049,11,19
30030,11987,18043,17,13
30030,12041,17989,11,19
30030,12043,17987,13,17
30030,12049,17981,19,11
30030,12071,17959,11,19
30030,12073,17957,13,17
30030,12101,17929,11,19
30030,12107,17923,17,13
30030,12109,17921,19,11
30030,12119,17911,29,1
30030,12149,17881,29,1
30030,12203,17827,23,7
30030,12239,17791,29,1
30030,12241,17789,1,29
30030,12269,17761,29,1
30030,12281,17749,11,19
30030,12301,17729,1,29
30030,12323,17707,23,7
30030,12347,17683,17,13
30030,12373,17657,13,17
30030,12421,17609,1,29
30030,12433,17597,13,17
30030,12451,17579,1,29
30030,12457,17573,7,23
30030,12479,17551,29,1
30030,12491,17539,11,19
30030,12511,17519,1,29
30030,12539,17491,29,1
30030,12541,17489,1,29
30030,12547,17483,7,23
30030,12553,17477,13,17
30030,12611,17419,11,19
30030,12613,17417,13,17
30030,12637,17393,7,23
30030,12641,17389,11,19
30030,12647,17383,17,13
30030,12653,17377,23,7
30030,12671,17359,11,19
30030,12689,17341,29,1
30030,12697,17333,7,23
30030,12703,17327,13,17
30030,12713,17317,23,7
30030,12739,17291,19,11
30030,12791,17239,11,19
30030,12799,17231,19,11
30030,12821,17209,11,19
30030,12823,17207,13,17
30030,12841,17189,1,29
30030,12893,17137,23,7
30030,12907,17123,7,23
30030,12923,17107,23,7
30030,12953,17077,23,7
30030,12983,17047,23,7
30030,13001,17029,11,19
30030,13003,17027,13,17
30030,13009,17021,19,11
30030,13037,16993,17,13
30030,13043,16987,23,7
30030,13049,16981,29,1
30030,13093,16937,13,17
30030,13099,16931,19,11
30030,13103,16927,23,7
30030,13109,16921,29,1
30030,13127,16903,17,13
30030,13147,16883,7,23
30030,13151,16879,11,19
30030,13159,16871,19,11
30030,13187,16843,17,13
30030,13219,16811,19,11
30030,13267,16763,7,23
30030,13327,16703,7,23
30030,13331,16699,11,19
30030,13337,16693,17,13
30030,13339,16691,19,11
30030,13381,16649,1,29
30030,13397,16633,17,13
30030,13399,16631,19,11
30030,13411,16619,1,29
30030,13457,16573,17,13
30030,13463,16567,23,7
30030,13469,16561,29,1
30030,13477,16553,7,23
30030,13537,16493,7,23
30030,13553,16477,23,7
30030,13577,16453,17,13
30030,13597,16433,7,23
30030,13613,16417,23,7
30030,13619,16411,29,1
30030,13649,16381,29,1
30030,13669,16361,19,11
30030,13681,16349,1,29
30030,13691,16339,11,19
30030,13697,16333,17,13
30030,13711,16319,1,29
30030,13729,16301,19,11
30030,13757,16273,17,13
30030,13763,16267,23,7
30030,13781,16249,11,19
30030,13799,16231,29,1
30030,13807,16223,7,23
30030,13841,16189,11,19
30030,13903,16127,13,17
30030,13933,16097,13,17
30030,13963,16067,13,17
30030,13967,16063,17,13
30030,13997,16033,17,13
30030,14029,16001,19,11
30030,14057,15973,17,13
30030,14071,15959,1,29
30030,14107,15923,7,23
30030,14143,15887,13,17
30030,14149,15881,19,11
30030,14153,15877,23,7
30030,14207,15823,17,13
30030,14221,15809,1,29
30030,14243,15787,23,7
30030,14281,15749,1,29
30030,14293,15737,13,17
30030,14303,15727,23,7
30030,14347,15683,7,23
30030,14369,15661,29,1
30030,14387,15643,17,13
30030,14389,15641,19,11
30030,14401,15629,1,29
30030,14411,15619,11,19
30030,14423,15607,23,7
30030,14447,15583,17,13
30030,14449,15581,19,11
30030,14461,15569,1,29
30030,14479,15551,19,11
30030,14489,15541,29,1
30030,14503,15527,13,17
30030,14519,15511,29,1
30030,14533,15497,13,17
30030,14537,15493,17,13
30030,14557,15473,7,23
30030,14563,15467,13,17
30030,14591,15439,11,19
30030,14629,15401,19,11
30030,14639,15391,29,1
30030,14653,15377,13,17
30030,14657,15373,17,13
30030,14669,15361,29,1
30030,14699,15331,29,1
30030,14717,15313,17,13
30030,14723,15307,23,7
30030,14731,15299,1,29
30030,14741,15289,11,19
30030,14753,15277,23,7
30030,14759,15271,29,1
30030,14767,15263,7,23
30030,14771,15259,11,19
30030,14797,15233,7,23
30030,14813,15217,23,7
30030,14831,15199,11,19
30030,14843,15187,23,7
30030,14869,15161,19,11
30030,14891,15139,11,19
30030,14923,15107,13,17
30030,14929,15101,19,11
30030,14939,15091,29,1
30030,14947,15083,7,23
30030,14957,15073,17,13
30030,14969,15061,29,1
30030,15013,15017,13,17
