N,P,Q,Res P,Res Q
2310,13,2297,13,17
2310,17,2293,17,13
2310,23,2287,23,7
2310,29,2281,29,1
2310,37,2273,7,23
2310,41,2269,11,19
2310,43,2267,13,17
2310,59,2251,29,1
2310,67,2243,7,23
2310,71,2239,11,19
2310,73,2237,13,17
2310,89,2221,29,1
2310,97,2213,7,23
2310,103,2207,13,17
2310,107,2203,17,13
2310,131,2179,11,19
2310,149,2161,29,1
2310,157,2153,7,23
2310,167,2143,17,13
2310,173,2137,23,7
2310,179,2131,29,1
2310,181,2129,1,29
2310,197,2113,17,13
2310,199,2111,19,11
2310,211,2099,1,29
2310,223,2087,13,17
2310,227,2083,17,13
2310,229,2081,19,11
2310,241,2069,1,29
2310,257,2053,17,13
2310,271,2039,1,29
2310,281,2029,11,19
2310,283,2027,13,17
2310,293,2017,23,7
2310,307,2003,7,23
2310,311,1999,11,19
2310,313,1997,13,17
2310,317,1993,17,13
2310,331,1979,1,29
2310,337,1973,7,23
2310,359,1951,29,1
2310,379,1931,19,11
2310,397,1913,7,23
2310,409,1901,19,11
2310,421,1889,1,29
2310,431,1879,11,19
2310,433,1877,13,17
2310,439,1871,19,11
2310,443,1867,23,7
2310,449,1861,29,1
2310,463,1847,13,17
2310,479,1831,29,1
2310,487,1823,7,23
2310,499,1811,19,11
2310,509,1801,29,1
2310,521,1789,11,19
2310,523,1787,13,17
2310,557,1753,17,13
2310,563,1747,23,7
2310,569,1741,29,1
2310,577,1733,7,23
2310,587,1723,17,13
2310,601,1709,1,29
2310,613,1697,13,17
2310,617,1693,17,13
2310,641,1669,11,19
2310,643,1667,13,17
2310,647,1663,17,13
2310,653,1657,23,7
2310,673,1637,13,17
2310,683,1627,23,7
2310,691,1619,1,29
2310,701,1609,11,19
2310,709,1601,19,11
2310,727,1583,7,23
2310,739,1571,19,11
2310,743,1567,23,7
2310,751,1559,1,29
2310,757,1553,7,23
2310,761,1549,11,19
2310,787,1523,7,23
2310,811,1499,1,29
2310,821,1489,11,19
2310,823,1487,13,17
2310,827,1483,17,13
2310,829,1481,19,11
2310,839,1471,29,1
2310,857,1453,17,13
2310,859,1451,19,11
2310,863,1447,23,7
2310,877,1433,7,23
2310,881,1429,11,19
2310,883,1427,13,17
2310,887,1423,17,13
2310,911,1399,11,19
2310,929,1381,29,1
2310,937,1373,7,23
2310,983,1327,23,7
2310,991,1319,1,29
2310,1009,1301,19,11
2310,1013,1297,23,7
2310,1019,1291,29,1
2310,1021,1289,1,29
2310,1031,1279,11,19
2310,1033,1277,13,17
2310,1051,1259,1,29
2310,1061,1249,11,19
2310,1087,1223,7,23
2310,1093,1217,13,17
2310,1097,1213,17,13
2310,1109,1201,29,1
2310,1117,1193,7,23
2310,1123,1187,13,17
2310,1129,1181,19,11
