P,Q,Res P,Res Q
25471,66877,1,7
25609,66739,19,19
25747,66601,7,1
25819,66529,19,19
25849,66499,19,19
26449,65899,19,19
26497,65851,7,1
26539,65809,19,19
26641,65707,1,7
26647,65701,7,1
26701,65647,1,7
26731,65617,1,7
27061,65287,1,7
27091,65257,1,7
27109,65239,19,19
27259,65089,19,19
27277,65071,7,1
27337,65011,7,1
27397,64951,7,1
27427,64921,7,1
27457,64891,7,1
27631,64717,1,7
27739,64609,19,19
27967,64381,7,1
28069,64279,19,19
28111,64237,1,7
28351,63997,1,7
28447,63901,7,1
28549,63799,19,19
28621,63727,1,7
28657,63691,7,1
28759,63589,19,19
28771,63577,1,7
28789,63559,19,19
28807,63541,7,1
28909,63439,19,19
28927,63421,7,1
29017,63331,7,1
29101,63247,1,7
29137,63211,7,1
29221,63127,1,7
29251,63097,1,7
29269,63079,19,19
29587,62761,7,1
29851,62497,1,7
29881,62467,1,7
29947,62401,7,1
30211,62137,1,7
30367,61981,7,1
30469,61879,19,19
30529,61819,19,19
30631,61717,1,7
30661,61687,1,7
30697,61651,7,1
30829,61519,19,19
30841,61507,1,7
30931,61417,1,7
31051,61297,1,7
31219,61129,19,19
31249,61099,19,19
31321,61027,1,7
31387,60961,7,1
31489,60859,19,19
31687,60661,7,1
31699,60649,19,19
31741,60607,1,7
31891,60457,1,7
32059,60289,19,19
32077,60271,7,1
32089,60259,19,19
32257,60091,7,1
32377,59971,7,1
32569,59779,19,19
32719,59629,19,19
32839,59509,19,19
32941,59407,1,7
32971,59377,1,7
33151,59197,1,7
33181,59167,1,7
33199,59149,19,19
33427,58921,7,1
33577,58771,7,1
33637,58711,7,1
33769,58579,19,19
33811,58537,1,7
33871,58477,1,7
33931,58417,1,7
33937,58411,7,1
34039,58309,19,19
34141,58207,1,7
34159,58189,19,19
34501,57847,1,7
34519,57829,19,19
34651,57697,1,7
34747,57601,7,1
34819,57529,19,19
34981,57367,1,7
35089,57259,19,19
35107,57241,7,1
35251,57097,1,7
35311,57037,1,7
35407,56941,7,1
35419,56929,19,19
35437,56911,7,1
35491,56857,1,7
35521,56827,1,7
35527,56821,7,1
35569,56779,19,19
35617,56731,7,1
35677,56671,7,1
35839,56509,19,19
35869,56479,19,19
35911,56437,1,7
36037,56311,7,1
36109,56239,19,19
36151,56197,1,7
36217,56131,7,1
36307,56041,7,1
36451,55897,1,7
36529,55819,19,19
36541,55807,1,7
36637,55711,7,1
36709,55639,19,19
36739,55609,19,19
36847,55501,7,1
36997,55351,7,1
37057,55291,7,1
37201,55147,1,7
37339,55009,19,19
37369,54979,19,19
37441,54907,1,7
37549,54799,19,19
37561,54787,1,7
37717,54631,7,1
37747,54601,7,1
37831,54517,1,7
37879,54469,19,19
37987,54361,7,1
38167,54181,7,1
38197,54151,7,1
38299,54049,19,19
38431,53917,1,7
38449,53899,19,19
38461,53887,1,7
38557,53791,7,1
38629,53719,19,19
38737,53611,7,1
38821,53527,1,7
38971,53377,1,7
39079,53269,19,19
39199,53149,19,19
39301,53047,1,7
39367,52981,7,1
39397,52951,7,1
39511,52837,1,7
39541,52807,1,7
39709,52639,19,19
39769,52579,19,19
39847,52501,7,1
39979,52369,19,19
40099,52249,19,19
40111,52237,1,7
40357,51991,7,1
40519,51829,19,19
40531,51817,1,7
40627,51721,7,1
40771,51577,1,7
40867,51481,7,1
40927,51421,7,1
41131,51217,1,7
41149,51199,19,19
41179,51169,19,19
41491,50857,1,7
41641,50707,1,7
41761,50587,1,7
41809,50539,19,19
41851,50497,1,7
41887,50461,7,1
42019,50329,19,19
42061,50287,1,7
42349,49999,19,19
42391,49957,1,7
42409,49939,19,19
42457,49891,7,1
42667,49681,7,1
42709,49639,19,19
42751,49597,1,7
42937,49411,7,1
42979,49369,19,19
43051,49297,1,7
43177,49171,7,1
43291,49057,1,7
43441,48907,1,7
43591,48757,1,7
43597,48751,7,1
43669,48679,19,19
43759,48589,19,19
43777,48571,7,1
43867,48481,7,1
43951,48397,1,7
44089,48259,19,19
44101,48247,1,7
44257,48091,7,1
44269,48079,19,19
44371,47977,1,7
44491,47857,1,7
44647,47701,7,1
44851,47497,1,7
44917,47431,7,1
44959,47389,19,19
45061,47287,1,7
45127,47221,7,1
45289,47059,19,19
45307,47041,7,1
45481,46867,1,7
45541,46807,1,7
45667,46681,7,1
45757,46591,7,1
45841,46507,1,7
45949,46399,19,19
46021,46327,1,7
